#,Description,Author,Source,Short Link,Type,Objective,Context,Abstraction,Medium,Representation,Framing,Transition / Flow,Order,Messaging,Structure,Point of View,Relatability,Takeaway,Emotion,Interactivty,,Full Link
1,"200 Countries, 200 Years, 4 minutes",Hans Rosling,BBC4,http://goo.gl/nxyjJj,Economic,Explanatory,Presentation,Trends,Annotated Graph,Temporal (Time),Single Frame,Temporal,Author Defined - Linear,Verbal,Idea Driven,Subjective,Personal,Lesson / Moral,Spectacle,Limited / None,,https://www.youtube.com/watch?v=jbkSRLYSojo
2,Inconvenient Truth - CO2 Level Chart,Al Gore,Al Gore,http://goo.gl/k4K235,Economic,Explanatory,Presentation,Trends,SlideShow,Temporal (Time),Establish & Focus,Causal,Author Defined - Linear,Verbal,Idea Driven,Subjective,Personal,Call to Action,Conflict,Limited / None,,http://web.ncf.ca/jim/ref/inconvenientTruth/
3,Pain at the gas pump,Washington Post,Washington Post,http://goo.gl/6QM72V,Economic,Explanatory,Presentation,Trends,Video / Animation,Temporal (Time),Establish & Focus,Dialogue,Author Defined - Linear,Verbal,Idea Driven,Subjective,Personal,Lesson / Moral,Closure,Limited / None,,http://www.washingtonpost.com/wp-srv/special/nation/pain-at-the-gas-pump/
4,Wealth Inequaility in America,Politizane,Viral Video,http://goo.gl/K1xNMy,Economic,Explanatory,Presentation,Outlier,Video / Animation,Distribution ,Establish & Focus,Comparison,Author Defined - Linear,Verbal,Idea Driven,Subjective,Personal,Call to Action,Suspense,Limited / None,,http://youtu.be/QPKKQnijnsM
5,The magic washing machine,Hans Rosling,TED,http://goo.gl/YBqukl,Economic,Explanatory,Presentation,Outlier,Annotated Graph,Distribution ,Single Frame,Dialogue,Author Defined - Linear,Verbal,Character Driven,Subjective,Personal,Call to Action,Conflict,Limited / None,,http://youtu.be/BZoKfap4g4w
6,"Global population growth, box by box",Hans Rosling,TED,http://goo.gl/UlZR9K,Economic,Explanatory,Presentation,Trends,Annotated Graph,Temporal (Time),Establish & Focus,Dialogue,Author Defined - Linear,Verbal,Idea Driven,Subjective,Personal,Call to Action,Spectacle,Limited / None,,http://youtu.be/fTznEIZRkLg
7,"Cholera Map, 1854",John Snow,Edward Tufte,http://goo.gl/yVlRkX,Historical,Explanatory,Personal,Pattern,Annotated Map,Geo-Spatial (Map),Single Frame,None,Author Defined - Linear,Captions & Annotation,Event Driven,Objective,Personal,Call to Action,Closure,Limited / None,,http://en.wikipedia.org/wiki/1854_Broad_Street_cholera_outbreak
8,Napolean Russian Campaign of 1812,Charles Minard,Edward Tufte,http://goo.gl/tSgbKN,Historical,Explanatory,Personal,Trends,Annotated Map,Geo-Spatial (Map),Single Frame,Temporal,Author Defined - Linear,Captions & Annotation,Event Driven,Objective,Personal,Lesson / Moral,Conflict,Limited / None,,http://en.wikipedia.org/wiki/Charles_Joseph_Minard
9,Mortality in Crimean War,Florence Nightingale,Edward Tufte,http://goo.gl/Jw3qlj,Historical,Explanatory,Personal,Pattern,Annotated Graph,Temporal (Time),Single Frame,None,Author Defined - Linear,Captions & Annotation,Event Driven,Objective,Personal,Lesson / Moral,Conflict,Limited / None,,http://en.wikipedia.org/wiki/Florence_Nightingale
10,Balance of Payment,William Playfair,Edward Tufte,http://goo.gl/jye7Ze,Economic,Explanatory,Personal,Trends,Annotated Graph,Deviations,Single Frame,None,Author Defined - Linear,Captions & Annotation,Idea Driven,Objective,Impersonal,Synposis,Closure,Limited / None,,http://en.wikipedia.org/wiki/William_Playfair
11,"One Report, Diverging Perspectives",NY Times,New York Times,http://goo.gl/NISOX7,Economic,Explanatory,Personal,Trends,Annotated Graph,Temporal (Time),Single Frame,Dialogue,User Driven,Captions & Annotation,Idea Driven,Subjective,Personal,Synposis,Conflict,Navigation,,http://www.nytimes.com/interactive/2012/10/05/business/economy/one-report-diverging-perspectives.html
12,Grants,Hewlett Foundation,Hewlett Foundation,http://goo.gl/mySNPJ,Business,Explanatory,Personal,Pattern,Annotated Graph,Distribution ,Single Frame,None,User Driven,Captions & Annotation,Milieu Driven,Objective,Impersonal,Synposis,Spectacle,Filtering,,http://www.hewlett.org/grants-tool/index
13,Weight of the World,Ben Willers,Ben Wilers,http://goo.gl/q0H91r,Economic,Explanatory,Personal,Pattern,Annotated Map,Geo-Spatial (Map),Single Frame,None,Author Defined - Episodic,Captions & Annotation,Idea Driven,Objective,Personal,Synposis,Spectacle,Limited / None,,http://lifeindata.site50.net/work/bmi/bmi.html
14,How does News Corp Make Money?,Frontline,Frontline,http://goo.gl/uwM8Fd,Business,Explanatory,Personal,Trends,Annotated Graph,Categorical (Nominal),Single Frame,Temporal,Author Defined - Linear,Captions & Annotation,Idea Driven,Objective,Impersonal,Synposis,Spectacle,Navigation,,http://www.pbs.org/wgbh/pages/frontline/media/murdochs-scandal/how-does-news-corp-make-its-money/
15,Behind the Libor Scandal,Dealbook-NYT,Dealbook - NYT,http://goo.gl/MfVNq4,Business,Explanatory,Personal,Outlier,Flow Chart,Temporal (Time),Single Frame,Dialogue,Author Defined - Linear,Detailed Text,Event Driven,Subjective,Personal,Synposis,Closure,Limited / None,,http://www.nytimes.com/interactive/2012/07/10/business/dealbook/behind-the-libor-scandal.html
16,Flight Quest,GE,GE,http://goo.gl/WR0t87,Business,Explanatory,Personal,Differences,Video / Animation,Temporal (Time),Single Frame,Dialogue,Author Defined - Episodic,Captions & Annotation,Idea Driven,Subjective,Personal,Call to Action,Closure,Detailing,,http://visualization.geblogs.com/visualization/flight-quest/
17,Walmart and Target,Nathan Yau,FlowingData,http://goo.gl/U04AMU,Business,Explanatory,Personal,Pattern,Video / Animation,Geo-Spatial (Map),Single Frame,Temporal,Author Defined - Linear,Captions & Annotation,Event Driven,Objective,Personal,Synposis,Spectacle,Detailing,,http://projects.flowingdata.com/walmart/
18,Powering the World,GE,GE,http://goo.gl/IYJBVZ,Business,Explanatory,Personal,Pattern,Video / Animation,Distribution ,Single Frame,Temporal,Author Defined - Linear,Captions & Annotation,Idea Driven,Objective,Impersonal,Synposis,Spectacle,Limited / None,,http://visualization.geblogs.com/visualization/powering/
19,Curing,GE,GE,http://goo.gl/KgwYPk,Business,Expression,Personal,Pattern,Video / Animation,Temporal (Time),Single Frame,Temporal,Author Defined - Linear,Captions & Annotation,Idea Driven,Objective,Impersonal,Synposis,Spectacle,Limited / None,,http://visualization.geblogs.com/visualization/curing/
20,P&G Decision Cockpit,HBR,HBR,http://goo.gl/HS6WY3,Business,Explanatory,Participatory,Trends,Annotated Graph,Categorical (Nominal),Single Frame,Causal,User Driven,Captions & Annotation,Idea Driven,Objective,Impersonal,Call to Action,Conflict,Filtering,,http://blogs.hbr.org/2013/04/how-p-and-g-presents-data/
21,Size of companies,Gramener,Gramener,http://goo.gl/tdsihG,Business,Exploration,Personal,Pattern,Annotated Map,Geo-Spatial (Map),Single Frame,Granularity,Author Defined - Episodic,Detailed Text,Milieu Driven,Objective,Impersonal,Synposis,Spectacle,Navigation,,https://gramener.com/companysize/#
22,Revenue Breakup,Gramener,Gramener,http://goo.gl/MjGZqR,Economic,Exploration,Personal,Differences,Annotated Graph,Part-to-Whole,Single Frame,Granularity,User Driven,Detailed Text,Milieu Driven,Objective,Impersonal,Synposis,Spectacle,Filtering,,https://gramener.com/fmcg/
23,Better Life Index by OECD,OECD,OECD,http://goo.gl/btG4a7,Economic,Exploration,Personal,Differences,Annotated Graph,Categorical (Nominal),Single Frame,Granularity,User Driven,Captions & Annotation,Milieu Driven,Objective,Personal,Synposis,Spectacle,Detailing,,http://www.oecdbetterlifeindex.org
24,Capabilities Premium,Booz & Company,Booz & Company,http://goo.gl/Oc0rGD,Business,Exploration,Personal,Differences,Annotated Graph,Distribution ,Single Frame,Granularity,User Driven,Captions & Annotation,Milieu Driven,Objective,Personal,Call to Action,Conflict,Detailing,,http://www.booz.com/eref/capabilities_premium_ma/ma-interactive-tool.html
25,Working Capital Profiler,Booz & Company,Booz & Company,http://goo.gl/tYw6dx,Business,Exploration,Personal,Differences,Annotated Graph,Distribution ,Single Frame,Dialogue,Author Defined - Episodic,Captions & Annotation,Milieu Driven,Objective,Personal,Call to Action,Closure,Filtering,,http://workingcapital.booz.com
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Coding Table =>,Business,Explanatory,Personal,Pattern,SlideShow,Categorical (Nominal),Single Frame,Dialogue,Author Defined - Linear,Verbal,Idea Driven,Objective,Personal,Synposis,Suspense,Navigation,,
,,,,,Economic,Exploration,Participatory,Trends,Video / Animation,Geo-Spatial (Map),Establish & Focus,Temporal,Author Defined - Episodic,Captions & Annotation,Character Driven,Subjective,Impersonal,Call to Action,Conflict,Detailing,,
,,,,,Historical,Expression,Presentation,Differences,Annotated Graph,Temporal (Time),Progress Bar (?),Causal,User Driven,Detailed Text,Event Driven,,,Lesson / Moral,Spectacle,Filtering,,
,,,,,,,,Outlier,Annotated Map,Ordinal (Ranking),,Granularity,,,Milieu Driven,,,,Closure,Limited / None,,
,,,,,,,,,Flow Chart,Distribution ,,Comparison,,,,,,,,,,
,,,,,,,,,Poster,Deviations,,Spatial,,,,,,,,,,
,,,,,,,,,Magazine,Part-to-Whole,,None,,,,,,,,,,
,,,,,,,,,,Correlation,,,,,,,,,,,,